name,author,narrator,releasedate,language,price,rating_stars,n_ratings,hours,mins,time_mins
"I Loved, I Lost, I Made Spaghetti",GiuliaMelucci,GiuliaMelucci,2009-01-04,English,8.44,,1.0,7,20,440
The One-Straw Revolution,"MasanobuFukuoka,LarryKorn","MasanobuFukuoka,LarryKorn",2017-08-29,English,8.44,,50.0,5,7,307
Teaming with Microbes,"JeffLowenfels,WayneLewis","JeffLowenfels,WayneLewis",2020-04-21,English,14.06,,1.0,8,7,487
Teaming with Nutrients,"JeffLowenfels,WayneLewis","JeffLowenfels,WayneLewis",2020-06-16,English,14.06,4.5,2.0,8,42,522
Restoration Agriculture,MarkShepard,MarkShepard,2019-11-29,English,8.44,,1.0,13,4,784
How to Make a Plant Love You,SummerRayneOakes,SummerRayneOakes,2019-09-07,English,9.05,4.5,3.0,5,1,301
The Nature of Plants,CraigN.Huegel,CraigN.Huegel,2020-07-28,English,7.03,,1.0,8,46,526
"Bringing Nature Home, Updated and Expanded","DouglasW.Tallamy,RickDarke-foreword","DouglasW.Tallamy,RickDarke-foreword",2019-01-22,English,7.03,,2.0,6,40,400
Down to Earth,MontyDon,MontyDon,2019-07-03,English,10.66,,1.0,7,38,458
The Garden Jungle,DaveGoulson,DaveGoulson,2019-11-21,English,10.66,,1.0,7,34,454
Rootbound,AliceVincent,AliceVincent,2020-01-30,English,8.2,,1.0,10,53,653
The Life-Changing Magic of Tidying,MarieKondo,MarieKondo,2016-09-22,English,7.38,4.5,170.0,4,39,279
Real Life Organizing,"CassandraAarssen,PeterWalsh","CassandraAarssen,PeterWalsh",2018-08-28,English,7.02,,14.0,4,7,247
Spark Joy,MarieKondo,MarieKondo,2017-06-15,English,7.38,,16.0,5,31,331
The Minimalist Home,JoshuaBecker,JoshuaBecker,2018-12-18,English,12.06,4.5,10.0,8,5,485
The Abundance of Less,AndyCouturier,AndyCouturier,2018-02-27,English,15.05,,2.0,14,13,853
Sink Reflections,MarlaCilley,MarlaCilley,2021-02-02,English,7.03,,1.0,6,3,363
Project 333,CourtneyCarver,CourtneyCarver,2020-03-03,English,9.05,4.5,2.0,4,50,290
Sacred Space,DeniseLinn,DeniseLinn,2018-05-31,English,8.44,,1.0,12,34,754
Tidy the F--k Up,MessieCondo,MessieCondo,2020-02-06,English,14.06,,4.0,3,13,193
Less Stuff,LindsayMiles,LindsayMiles,2019-01-10,English,7.74,,1.0,4,30,270
Simply Sustainable,LilyCameron,LilyCameron,2021-03-30,English,9.05,,1.0,4,7,247
"Live Lagom: Balanced Living, the Swedish Way",AnnaBrones,AnnaBrones,2017-07-27,English,7.38,,4.0,2,23,143
Living with a Green Heart,GayBrowne,GayBrowne,2019-03-26,English,8.44,,2.0,6,49,409
A Zero Waste Life,AnitaVandyke,AnitaVandyke,2019-01-02,English,9.56,,5.0,2,22,142
Minimal,MadeleineOlivia,MadeleineOlivia,2020-09-01,English,10.66,,2.0,5,15,315
M.O.M. Master Organizer of Mayhem,KristiClover,KristiClover,2019-03-09,English,7.03,,1.0,5,35,335
The Clutter Connection,CassandraAarssen,CassandraAarssen,2019-01-15,English,8.42,,3.0,5,38,338
Unstuff Your Life,AndrewJ.Mellen,AndrewJ.Mellen,2012-02-14,English,10.03,,1.0,10,21,621
101 Ways to Go Zero Waste,KathrynKellogg,KathrynKellogg,2019-05-21,English,5.63,,1.0,4,38,278
How to Give Up Plastic,WillMcCallum,WillMcCallum,2018-05-24,English,7.38,4.5,3.0,3,56,236
Let It Go,PeterWalsh,PeterWalsh,2017-02-14,English,9.84,,1.0,5,48,348
Humanizing the Economy,JohnRestakis,JohnRestakis,2012-08-08,English,8.33,,2.0,12,52,772
House Lessons,EricaBauermeister,EricaBauermeister,2020-03-24,English,7.03,,1.0,6,28,388
5 Days to a Clutter-Free House,"SandraFelton,MarshaSims","SandraFelton,MarshaSims",2017-12-19,English,14.06,,1.0,4,47,287
Create Space,DillyCarter,DillyCarter,2021-01-14,English,7.38,,1.0,4,19,259
Zak George’s Dog Training Revolution,ZakGeorge,ZakGeorge,2016-11-22,English,9.84,,17.0,6,44,404
How Dogs Think,StanleyCorenPhD,StanleyCorenPhD,2017-04-30,English,12.1,,1.0,13,4,784
Cesar Millan's Short Guide to a Happy Dog,CesarMillan,CesarMillan,2013-01-01,English,7.02,,3.0,5,28,328
"Chicken Soup for the Dog Lover's Soul: Stories of Canine Companionship, Comedy and Courage","JackCanfield,MarkVictorHansen","JackCanfield,MarkVictorHansen",2013-05-28,English,8.02,,1.0,9,39,579
Tiny but Mighty,HannahShaw,HannahShaw,2019-06-08,English,12.06,,4.0,9,47,587
Zak George's Guide to a Well-Behaved Dog,"ZakGeorge,DinaRothPort","ZakGeorge,DinaRothPort",2019-09-07,English,10.55,,2.0,6,46,406
The Power of Positive Dog Training,PatMiller,PatMiller,2015-11-17,English,10.69,,1.0,8,45,525
The Other End of the Leash,PatriciaMcConnellPhD,PatriciaMcConnellPhD,2016-01-06,English,8.02,,4.0,9,52,592
Chicken Soup for the Soul: What I Learned from the Cat,"JackCanfield,MarkVictorHansen,AmyNewmark,","JackCanfield,MarkVictorHansen,AmyNewmark,",2010-06-12,English,4.22,,1.0,1,58,118
"Chicken Soup for the Cat Lover's Soul: Stories of Feline Affection, Mystery and Charm","JackCanfield,MarkVictorHansen","JackCanfield,MarkVictorHansen",2013-05-28,English,10.03,,1.0,10,53,653
Canine Confidential,MarcBekoff,MarcBekoff,2018-08-05,English,7.03,,1.0,7,54,474
"Chicken Soup for the Soul: What I Learned from the Dog - 36 Stories about Perspective, Kindness, and Unconditional Love","JackCanfield,MarkVictorHansen,AmyNewmark,","JackCanfield,MarkVictorHansen,AmyNewmark,",2010-06-12,English,2.81,,1.0,3,11,191
Puppy Training in 7 Easy Steps,"MarkVanWye,ZoomRoomDogTraining","MarkVanWye,ZoomRoomDogTraining",2019-09-24,English,6.01,,2.0,3,53,233
The Art of Raising a Puppy,TheMonksofNewSkete,TheMonksofNewSkete,2001-08-05,English,6.82,,4.0,4,11,251
How Dogs Love Us,GregoryBerns,GregoryBerns,2013-10-22,English,7.21,,2.0,7,41,461
The Culture Clash,JeanDonaldson,JeanDonaldson,2017-05-30,English,10.69,,1.0,9,21,561
The Dragon Behind the Glass,EmilyVoigt,EmilyVoigt,2016-05-24,English,11.26,,3.0,7,58,478
Feline Philosophy,JohnGray,JohnGray,2020-10-29,English,7.38,,1.0,3,38,218
The Lord God Made Them All,JamesHerriot,JamesHerriot,2016-02-06,English,3.88,,4.0,11,30,690
Bones Would Rain from the Sky,SuzanneClothier,SuzanneClothier,2017-02-21,English,12.66,,1.0,13,46,826
Easy Peasy Puppy Squeezy,SteveMann,SteveMann,2019-08-22,English,6.83,,1.0,4,50,290
Chicken Soup for the Pet Lover's Soul,"CarolKline,JackCanfield,MarkVictorHansen,","CarolKline,JackCanfield,MarkVictorHansen,",2005-08-23,English,3.36,,2.0,1,14,74
A Kestrel for a Knave,BarryHines,BarryHines,2016-10-19,English,8.47,,1.0,6,24,384
Let Dogs Be Dogs,TheMonksofNewSkete,TheMonksofNewSkete,2017-09-13,English,6.0,,1.0,9,43,583
The Dog Whisperer,"PaulOwens,NormaEckroate","PaulOwens,NormaEckroate",2008-09-25,English,6.73,,1.0,4,46,286
Rescue Dogs,"GeneStone,PetePaxton","GeneStone,PetePaxton",2019-01-10,English,10.55,,1.0,7,19,439
The Accidental Veterinarian,PhilippSchott,PhilippSchott,2019-04-23,English,7.03,,1.0,5,41,341
How to Own a Human,"RudyardKipling,LyttonStrachey,EdwardLear,","RudyardKipling,LyttonStrachey,EdwardLear,",2011-06-21,English,5.46,,1.0,1,19,79
